Nama,Harga,Alamat
MORESKIN MAGIC LIPSTICK,55000,Jombang
MORESKIN MOISTURIZING LIPSTICK,55000,Jombang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Cheek Mousse,137000,Jakarta Selatan
Lipstik Matte Anti Air Tahan Lama Tidak Kissproof Multifungsi 3in Bisa Untuk Kelopak Mata Pipi dan Bibir Lumecolors Original,137000,Tangerang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Velvet Lipcoat,117000,Jakarta Selatan
PINKFLASH Matte Lipcream | PF-L01 Pink Flash Lip cream - Lipstick - Lipstik,14080,Jakarta Barat
IMPLORA Intense Matte Lipstick Long Lasting Finish - Lipstik Implora,16100,Jakarta Barat
Purbasari Lipstick Color Matte - Lipstik Purbasari,28440,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
BPOM Focallure FA179 Liquid Lipstick Lipclay Lipmatte Lipcream Ture Matte Lip Clay,50000,Jakarta Utara
JUPON MINI LIPSTICK ORIGINAL BPOM - JUPON PEMERAH BIBIR,4100,Surabaya
IMPLORA - URBAN LIP CREAM MATTE - LIPSTICK IMPLORA,15500,Surabaya
wardah Colorfit Ultralight Matte Lipstick,37800,Jakarta Barat
Maybelline lipstick superstay matte ink BPOM,83000,Bandung
Lip cream matte urban Implora BPOM Dusty Nude Red pink latte Tera Brown cotta berry lipstik lipcream,17600,Kab. Bekasi
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
Lipstik Matte Anti Air - Lipstik Tahan Lama - Lipstik Kissproof - Lipstick Cream - Lumecolors Velvet Lipcoat Original,117000,Tangerang
Lip serum untuk perokok - Lipstik untuk perokok pria dan wanita - Serum untuk bibir hitam karena merokok - Pencegah bibir kering pecah-pecah bpom,80000,Bandung
Lipstik Cat Rambut Uban Penghitam Bright Hair Dye Pen,13600,Jakarta Barat
FLO LIPS LONG LASTING LIPSTIK UPZme - 1 pcs,110000,Kab. Tangerang
BPOM PINKFLASH Matte Lipstik Lembut Tahan Lama PFL01 Lipstick Matte Lipcream Lipmatte Original,50000,Jakarta Utara
Lipstick Hanasui Matte Lip Cream Hanasui,23750,Kab. Tangerang
BPOM DAZZLE ME Misty Matte Lip Cream | Silky Kiss Lip Matte Non Sticky 12 Jam Tanhan Air Lipcream Lipstik Lipstick,31500,Jakarta Utara
IMPLORA URBAN LIP CREAM MATTE ORIGINAL BPOM READY SEMUA WARNA KOSMETIK IMPLORA LIPSTIK IMPLORA,18500,Surabaya
PINKFLASH PinkDiary Silky Lip Cream Smooth High Pigment Waterproof Lasting Velvet Matte Lipstick PFL04 Pigmen Tinggi Tahan Air Tahan Lama,23000,Jakarta Utara
Maybelline - Superstay Matte Ink Liquid Matte Lipstick,125000,Jakarta Timur
IMPLORA Intense Matte Lipstik Long Lasting Finish,12000,Bekasi
IMPLORA INTENSE MATTE LIPSTICK LONG LASTING FINISH - IMPLORA LIPSTIK,16300,Surabaya
MAYBELLINE SUPERSTAY MATTE INK MAYBELINE - TRANSFERPROOF LIQUID LIPSTICK MAYBELINE  | LIPTICK | LIPSTIK | LIPCREAM,132500,Jakarta Utara
LIPSTIK JUPON MINI ORIGINAL BPOM,4100,Surabaya
Lameila 2026 Lipstik Matte Special Red Edition Waterproof dan Tahan Lama,8706,Jakarta Barat
Purbasari Color Matte Lipstick Colour CM Original,25600,Jakarta Selatan
Lameila Matte Liquid Lipstick Velvet Lip Glaze Lipstik Cair 6 Warna Waterproof dan Tahan Lama,8235,Jakarta Barat
lipstick lip maycreate mycreate lipstik korea original tahan lama anti air tidak luntur ori,25000,Jakarta Barat
ORIGINAL NEE CARA MINI SET MATTE LIPSTICK DAPET - 5 PCS -,152000,Jakarta Barat
Maybelline Superstay Matte Ink Liquid Lipstick Lipstik Liquid Matte Makeup,90900,Jakarta Utara
Wardah Intense Matte Lipstick - Lipstick Intense MATTE WARDAH,38000,Jakarta Utara
YOU SUPREME Matte Lipstick - 05 ANNA,44000,Tangerang
Wardah Lip Cream Exclusive Matte Lip lipstik Kosmetik bibir Halal Berry heart honey Nude remaja dewasa,37400,Kab. Bekasi
Wardah Exclusive matte lipstik wardah makeup,40000,Bekasi
Wardah Exclusive Lipstick 3.5 gr ORIGINAL Lipstik Moist ORI jaga kelembaban kulit Bibir Dark Red Maroon Brown Mango Choco Orange Peach Pink Vitamin E,38400,Kab. Bekasi
Implora lip cream Exp 2025 matte urban BPOM dusty nude red pink latte cotta berry lipstik lipcream,17900,Kab. Bekasi
WARDAH EXCLUSIVE MATTE LIP CREAM ORIGINAL BPOM - LIPSTICK - LIPSTIK,56960,Surabaya
Madame Gie Lip Matte Netizen - Make Up Lipstick - Lip Cream,12000,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstick,65000,Serang
Lameila 2028 Lipstick Glaze Matte Waterproof Lipstik Glaze 6 Warna Tahan Lama,9900,Jakarta Barat
LM 1044  Lameila  Lip Glaze Moisturizing Liptint Lipgloss Lipstik Cair,10400,Jakarta Barat
Nyx Matte Lipstick - MLS 32 Siren,105000,Jakarta Selatan
Calysta lip serum menutrisi kulit memberi warna alami bibir - Lipstik untuk bibir kering pecah-pecah yang ampuh,80000,Bandung
Lipstik Heng Fang Dream Lips Color Refreshing Lipstick Waterproof dan Tahan Lama  Isi 6 pcs,49500,Jakarta Barat
MORESKIN MAGIC LIPSTICK,55000,Jombang
MORESKIN MOISTURIZING LIPSTICK,55000,Jombang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Cheek Mousse,137000,Jakarta Selatan
Lipstik Matte Anti Air Tahan Lama Tidak Kissproof Multifungsi 3in Bisa Untuk Kelopak Mata Pipi dan Bibir Lumecolors Original,137000,Tangerang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Velvet Lipcoat,117000,Jakarta Selatan
PINKFLASH Matte Lipcream | PF-L01 Pink Flash Lip cream - Lipstick - Lipstik,14080,Jakarta Barat
IMPLORA Intense Matte Lipstick Long Lasting Finish - Lipstik Implora,16100,Jakarta Barat
Purbasari Lipstick Color Matte - Lipstik Purbasari,28440,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
BPOM Focallure FA179 Liquid Lipstick Lipclay Lipmatte Lipcream Ture Matte Lip Clay,50000,Jakarta Utara
JUPON MINI LIPSTICK ORIGINAL BPOM - JUPON PEMERAH BIBIR,4100,Surabaya
IMPLORA - URBAN LIP CREAM MATTE - LIPSTICK IMPLORA,15500,Surabaya
wardah Colorfit Ultralight Matte Lipstick,37800,Jakarta Barat
Maybelline lipstick superstay matte ink BPOM,83000,Bandung
Lip cream matte urban Implora BPOM Dusty Nude Red pink latte Tera Brown cotta berry lipstik lipcream,17600,Kab. Bekasi
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
Lipstik Matte Anti Air - Lipstik Tahan Lama - Lipstik Kissproof - Lipstick Cream - Lumecolors Velvet Lipcoat Original,117000,Tangerang
Lip serum untuk perokok - Lipstik untuk perokok pria dan wanita - Serum untuk bibir hitam karena merokok - Pencegah bibir kering pecah-pecah bpom,80000,Bandung
Lipstik Cat Rambut Uban Penghitam Bright Hair Dye Pen,13600,Jakarta Barat
FLO LIPS LONG LASTING LIPSTIK UPZme - 1 pcs,110000,Kab. Tangerang
BPOM PINKFLASH Matte Lipstik Lembut Tahan Lama PFL01 Lipstick Matte Lipcream Lipmatte Original,50000,Jakarta Utara
Lipstick Hanasui Matte Lip Cream Hanasui,23750,Kab. Tangerang
BPOM DAZZLE ME Misty Matte Lip Cream | Silky Kiss Lip Matte Non Sticky 12 Jam Tanhan Air Lipcream Lipstik Lipstick,31500,Jakarta Utara
IMPLORA URBAN LIP CREAM MATTE ORIGINAL BPOM READY SEMUA WARNA KOSMETIK IMPLORA LIPSTIK IMPLORA,18500,Surabaya
PINKFLASH PinkDiary Silky Lip Cream Smooth High Pigment Waterproof Lasting Velvet Matte Lipstick PFL04 Pigmen Tinggi Tahan Air Tahan Lama,23000,Jakarta Utara
Maybelline - Superstay Matte Ink Liquid Matte Lipstick,125000,Jakarta Timur
IMPLORA Intense Matte Lipstik Long Lasting Finish,12000,Bekasi
IMPLORA INTENSE MATTE LIPSTICK LONG LASTING FINISH - IMPLORA LIPSTIK,16300,Surabaya
MAYBELLINE SUPERSTAY MATTE INK MAYBELINE - TRANSFERPROOF LIQUID LIPSTICK MAYBELINE  | LIPTICK | LIPSTIK | LIPCREAM,132500,Jakarta Utara
LIPSTIK JUPON MINI ORIGINAL BPOM,4100,Surabaya
Lameila 2026 Lipstik Matte Special Red Edition Waterproof dan Tahan Lama,8706,Jakarta Barat
Purbasari Color Matte Lipstick Colour CM Original,25600,Jakarta Selatan
Lameila Matte Liquid Lipstick Velvet Lip Glaze Lipstik Cair 6 Warna Waterproof dan Tahan Lama,8235,Jakarta Barat
lipstick lip maycreate mycreate lipstik korea original tahan lama anti air tidak luntur ori,25000,Jakarta Barat
ORIGINAL NEE CARA MINI SET MATTE LIPSTICK DAPET - 5 PCS -,152000,Jakarta Barat
Maybelline Superstay Matte Ink Liquid Lipstick Lipstik Liquid Matte Makeup,90900,Jakarta Utara
Wardah Intense Matte Lipstick - Lipstick Intense MATTE WARDAH,38000,Jakarta Utara
YOU SUPREME Matte Lipstick - 05 ANNA,44000,Tangerang
Wardah Lip Cream Exclusive Matte Lip lipstik Kosmetik bibir Halal Berry heart honey Nude remaja dewasa,37400,Kab. Bekasi
Wardah Exclusive matte lipstik wardah makeup,40000,Bekasi
Wardah Exclusive Lipstick 3.5 gr ORIGINAL Lipstik Moist ORI jaga kelembaban kulit Bibir Dark Red Maroon Brown Mango Choco Orange Peach Pink Vitamin E,38400,Kab. Bekasi
Implora lip cream Exp 2025 matte urban BPOM dusty nude red pink latte cotta berry lipstik lipcream,17900,Kab. Bekasi
WARDAH EXCLUSIVE MATTE LIP CREAM ORIGINAL BPOM - LIPSTICK - LIPSTIK,56960,Surabaya
Madame Gie Lip Matte Netizen - Make Up Lipstick - Lip Cream,12000,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstick,65000,Serang
Lameila 2028 Lipstick Glaze Matte Waterproof Lipstik Glaze 6 Warna Tahan Lama,9900,Jakarta Barat
LM 1044  Lameila  Lip Glaze Moisturizing Liptint Lipgloss Lipstik Cair,10400,Jakarta Barat
Nyx Matte Lipstick - MLS 32 Siren,105000,Jakarta Selatan
Calysta lip serum menutrisi kulit memberi warna alami bibir - Lipstik untuk bibir kering pecah-pecah yang ampuh,80000,Bandung
Lipstik Heng Fang Dream Lips Color Refreshing Lipstick Waterproof dan Tahan Lama  Isi 6 pcs,49500,Jakarta Barat
MORESKIN MAGIC LIPSTICK,55000,Jombang
MORESKIN MOISTURIZING LIPSTICK,55000,Jombang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Cheek Mousse,137000,Jakarta Selatan
Lipstik Matte Anti Air Tahan Lama Tidak Kissproof Multifungsi 3in Bisa Untuk Kelopak Mata Pipi dan Bibir Lumecolors Original,137000,Tangerang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Velvet Lipcoat,117000,Jakarta Selatan
PINKFLASH Matte Lipcream | PF-L01 Pink Flash Lip cream - Lipstick - Lipstik,14080,Jakarta Barat
IMPLORA Intense Matte Lipstick Long Lasting Finish - Lipstik Implora,16100,Jakarta Barat
Purbasari Lipstick Color Matte - Lipstik Purbasari,28440,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
BPOM Focallure FA179 Liquid Lipstick Lipclay Lipmatte Lipcream Ture Matte Lip Clay,50000,Jakarta Utara
JUPON MINI LIPSTICK ORIGINAL BPOM - JUPON PEMERAH BIBIR,4100,Surabaya
IMPLORA - URBAN LIP CREAM MATTE - LIPSTICK IMPLORA,15500,Surabaya
wardah Colorfit Ultralight Matte Lipstick,37800,Jakarta Barat
Maybelline lipstick superstay matte ink BPOM,83000,Bandung
Lip cream matte urban Implora BPOM Dusty Nude Red pink latte Tera Brown cotta berry lipstik lipcream,17600,Kab. Bekasi
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
Lipstik Matte Anti Air - Lipstik Tahan Lama - Lipstik Kissproof - Lipstick Cream - Lumecolors Velvet Lipcoat Original,117000,Tangerang
Lip serum untuk perokok - Lipstik untuk perokok pria dan wanita - Serum untuk bibir hitam karena merokok - Pencegah bibir kering pecah-pecah bpom,80000,Bandung
Lipstik Cat Rambut Uban Penghitam Bright Hair Dye Pen,13600,Jakarta Barat
FLO LIPS LONG LASTING LIPSTIK UPZme - 1 pcs,110000,Kab. Tangerang
BPOM PINKFLASH Matte Lipstik Lembut Tahan Lama PFL01 Lipstick Matte Lipcream Lipmatte Original,50000,Jakarta Utara
Lipstick Hanasui Matte Lip Cream Hanasui,23750,Kab. Tangerang
BPOM DAZZLE ME Misty Matte Lip Cream | Silky Kiss Lip Matte Non Sticky 12 Jam Tanhan Air Lipcream Lipstik Lipstick,31500,Jakarta Utara
IMPLORA URBAN LIP CREAM MATTE ORIGINAL BPOM READY SEMUA WARNA KOSMETIK IMPLORA LIPSTIK IMPLORA,18500,Surabaya
PINKFLASH PinkDiary Silky Lip Cream Smooth High Pigment Waterproof Lasting Velvet Matte Lipstick PFL04 Pigmen Tinggi Tahan Air Tahan Lama,23000,Jakarta Utara
Maybelline - Superstay Matte Ink Liquid Matte Lipstick,125000,Jakarta Timur
IMPLORA Intense Matte Lipstik Long Lasting Finish,12000,Bekasi
IMPLORA INTENSE MATTE LIPSTICK LONG LASTING FINISH - IMPLORA LIPSTIK,16300,Surabaya
MAYBELLINE SUPERSTAY MATTE INK MAYBELINE - TRANSFERPROOF LIQUID LIPSTICK MAYBELINE  | LIPTICK | LIPSTIK | LIPCREAM,132500,Jakarta Utara
LIPSTIK JUPON MINI ORIGINAL BPOM,4100,Surabaya
Lameila 2026 Lipstik Matte Special Red Edition Waterproof dan Tahan Lama,8706,Jakarta Barat
Purbasari Color Matte Lipstick Colour CM Original,25600,Jakarta Selatan
Lameila Matte Liquid Lipstick Velvet Lip Glaze Lipstik Cair 6 Warna Waterproof dan Tahan Lama,8235,Jakarta Barat
lipstick lip maycreate mycreate lipstik korea original tahan lama anti air tidak luntur ori,25000,Jakarta Barat
ORIGINAL NEE CARA MINI SET MATTE LIPSTICK DAPET - 5 PCS -,152000,Jakarta Barat
Maybelline Superstay Matte Ink Liquid Lipstick Lipstik Liquid Matte Makeup,90900,Jakarta Utara
Wardah Intense Matte Lipstick - Lipstick Intense MATTE WARDAH,38000,Jakarta Utara
YOU SUPREME Matte Lipstick - 05 ANNA,44000,Tangerang
Wardah Lip Cream Exclusive Matte Lip lipstik Kosmetik bibir Halal Berry heart honey Nude remaja dewasa,37400,Kab. Bekasi
Wardah Exclusive matte lipstik wardah makeup,40000,Bekasi
Wardah Exclusive Lipstick 3.5 gr ORIGINAL Lipstik Moist ORI jaga kelembaban kulit Bibir Dark Red Maroon Brown Mango Choco Orange Peach Pink Vitamin E,38400,Kab. Bekasi
Implora lip cream Exp 2025 matte urban BPOM dusty nude red pink latte cotta berry lipstik lipcream,17900,Kab. Bekasi
WARDAH EXCLUSIVE MATTE LIP CREAM ORIGINAL BPOM - LIPSTICK - LIPSTIK,56960,Surabaya
Madame Gie Lip Matte Netizen - Make Up Lipstick - Lip Cream,12000,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstick,65000,Serang
Lameila 2028 Lipstick Glaze Matte Waterproof Lipstik Glaze 6 Warna Tahan Lama,9900,Jakarta Barat
LM 1044  Lameila  Lip Glaze Moisturizing Liptint Lipgloss Lipstik Cair,10400,Jakarta Barat
Nyx Matte Lipstick - MLS 32 Siren,105000,Jakarta Selatan
Calysta lip serum menutrisi kulit memberi warna alami bibir - Lipstik untuk bibir kering pecah-pecah yang ampuh,80000,Bandung
Lipstik Heng Fang Dream Lips Color Refreshing Lipstick Waterproof dan Tahan Lama  Isi 6 pcs,49500,Jakarta Barat
MORESKIN MAGIC LIPSTICK,55000,Jombang
MORESKIN MOISTURIZING LIPSTICK,55000,Jombang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Cheek Mousse,137000,Jakarta Selatan
Lipstik Matte Anti Air Tahan Lama Tidak Kissproof Multifungsi 3in Bisa Untuk Kelopak Mata Pipi dan Bibir Lumecolors Original,137000,Tangerang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Velvet Lipcoat,117000,Jakarta Selatan
PINKFLASH Matte Lipcream | PF-L01 Pink Flash Lip cream - Lipstick - Lipstik,14080,Jakarta Barat
IMPLORA Intense Matte Lipstick Long Lasting Finish - Lipstik Implora,16100,Jakarta Barat
Purbasari Lipstick Color Matte - Lipstik Purbasari,28440,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
BPOM Focallure FA179 Liquid Lipstick Lipclay Lipmatte Lipcream Ture Matte Lip Clay,50000,Jakarta Utara
JUPON MINI LIPSTICK ORIGINAL BPOM - JUPON PEMERAH BIBIR,4100,Surabaya
IMPLORA - URBAN LIP CREAM MATTE - LIPSTICK IMPLORA,15500,Surabaya
wardah Colorfit Ultralight Matte Lipstick,37800,Jakarta Barat
Maybelline lipstick superstay matte ink BPOM,83000,Bandung
Lip cream matte urban Implora BPOM Dusty Nude Red pink latte Tera Brown cotta berry lipstik lipcream,17600,Kab. Bekasi
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
Lipstik Matte Anti Air - Lipstik Tahan Lama - Lipstik Kissproof - Lipstick Cream - Lumecolors Velvet Lipcoat Original,117000,Tangerang
Lip serum untuk perokok - Lipstik untuk perokok pria dan wanita - Serum untuk bibir hitam karena merokok - Pencegah bibir kering pecah-pecah bpom,80000,Bandung
Lipstik Cat Rambut Uban Penghitam Bright Hair Dye Pen,13600,Jakarta Barat
FLO LIPS LONG LASTING LIPSTIK UPZme - 1 pcs,110000,Kab. Tangerang
BPOM PINKFLASH Matte Lipstik Lembut Tahan Lama PFL01 Lipstick Matte Lipcream Lipmatte Original,50000,Jakarta Utara
Lipstick Hanasui Matte Lip Cream Hanasui,23750,Kab. Tangerang
BPOM DAZZLE ME Misty Matte Lip Cream | Silky Kiss Lip Matte Non Sticky 12 Jam Tanhan Air Lipcream Lipstik Lipstick,31500,Jakarta Utara
IMPLORA URBAN LIP CREAM MATTE ORIGINAL BPOM READY SEMUA WARNA KOSMETIK IMPLORA LIPSTIK IMPLORA,18500,Surabaya
PINKFLASH PinkDiary Silky Lip Cream Smooth High Pigment Waterproof Lasting Velvet Matte Lipstick PFL04 Pigmen Tinggi Tahan Air Tahan Lama,23000,Jakarta Utara
Maybelline - Superstay Matte Ink Liquid Matte Lipstick,125000,Jakarta Timur
IMPLORA Intense Matte Lipstik Long Lasting Finish,12000,Bekasi
IMPLORA INTENSE MATTE LIPSTICK LONG LASTING FINISH - IMPLORA LIPSTIK,16300,Surabaya
MAYBELLINE SUPERSTAY MATTE INK MAYBELINE - TRANSFERPROOF LIQUID LIPSTICK MAYBELINE  | LIPTICK | LIPSTIK | LIPCREAM,132500,Jakarta Utara
LIPSTIK JUPON MINI ORIGINAL BPOM,4100,Surabaya
Lameila 2026 Lipstik Matte Special Red Edition Waterproof dan Tahan Lama,8706,Jakarta Barat
Purbasari Color Matte Lipstick Colour CM Original,25600,Jakarta Selatan
Lameila Matte Liquid Lipstick Velvet Lip Glaze Lipstik Cair 6 Warna Waterproof dan Tahan Lama,8235,Jakarta Barat
lipstick lip maycreate mycreate lipstik korea original tahan lama anti air tidak luntur ori,25000,Jakarta Barat
ORIGINAL NEE CARA MINI SET MATTE LIPSTICK DAPET - 5 PCS -,152000,Jakarta Barat
Maybelline Superstay Matte Ink Liquid Lipstick Lipstik Liquid Matte Makeup,90900,Jakarta Utara
Wardah Intense Matte Lipstick - Lipstick Intense MATTE WARDAH,38000,Jakarta Utara
YOU SUPREME Matte Lipstick - 05 ANNA,44000,Tangerang
Wardah Lip Cream Exclusive Matte Lip lipstik Kosmetik bibir Halal Berry heart honey Nude remaja dewasa,37400,Kab. Bekasi
Wardah Exclusive matte lipstik wardah makeup,40000,Bekasi
Wardah Exclusive Lipstick 3.5 gr ORIGINAL Lipstik Moist ORI jaga kelembaban kulit Bibir Dark Red Maroon Brown Mango Choco Orange Peach Pink Vitamin E,38400,Kab. Bekasi
Implora lip cream Exp 2025 matte urban BPOM dusty nude red pink latte cotta berry lipstik lipcream,17900,Kab. Bekasi
WARDAH EXCLUSIVE MATTE LIP CREAM ORIGINAL BPOM - LIPSTICK - LIPSTIK,56960,Surabaya
Madame Gie Lip Matte Netizen - Make Up Lipstick - Lip Cream,12000,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstick,65000,Serang
Lameila 2028 Lipstick Glaze Matte Waterproof Lipstik Glaze 6 Warna Tahan Lama,9900,Jakarta Barat
LM 1044  Lameila  Lip Glaze Moisturizing Liptint Lipgloss Lipstik Cair,10400,Jakarta Barat
Nyx Matte Lipstick - MLS 32 Siren,105000,Jakarta Selatan
Calysta lip serum menutrisi kulit memberi warna alami bibir - Lipstik untuk bibir kering pecah-pecah yang ampuh,80000,Bandung
Lipstik Heng Fang Dream Lips Color Refreshing Lipstick Waterproof dan Tahan Lama  Isi 6 pcs,49500,Jakarta Barat
MORESKIN MAGIC LIPSTICK,55000,Jombang
MORESKIN MOISTURIZING LIPSTICK,55000,Jombang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Cheek Mousse,137000,Jakarta Selatan
Lipstik Matte Anti Air Tahan Lama Tidak Kissproof Multifungsi 3in Bisa Untuk Kelopak Mata Pipi dan Bibir Lumecolors Original,137000,Tangerang
Lumecolors Lipstik Matte Tahan Lama Anti Air Lengket Velvet Lipcoat,117000,Jakarta Selatan
PINKFLASH Matte Lipcream | PF-L01 Pink Flash Lip cream - Lipstick - Lipstik,14080,Jakarta Barat
IMPLORA Intense Matte Lipstick Long Lasting Finish - Lipstik Implora,16100,Jakarta Barat
Purbasari Lipstick Color Matte - Lipstik Purbasari,28440,Jakarta Barat
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
BPOM Focallure FA179 Liquid Lipstick Lipclay Lipmatte Lipcream Ture Matte Lip Clay,50000,Jakarta Utara
JUPON MINI LIPSTICK ORIGINAL BPOM - JUPON PEMERAH BIBIR,4100,Surabaya
IMPLORA - URBAN LIP CREAM MATTE - LIPSTICK IMPLORA,15500,Surabaya
wardah Colorfit Ultralight Matte Lipstick,37800,Jakarta Barat
Maybelline lipstick superstay matte ink BPOM,83000,Bandung
Lip cream matte urban Implora BPOM Dusty Nude Red pink latte Tera Brown cotta berry lipstik lipcream,17600,Kab. Bekasi
Wardah Colorfit Ultralight Matte Lipstik - KoreanEdition,37000,Jakarta Selatan
Lipstik Matte Anti Air - Lipstik Tahan Lama - Lipstik Kissproof - Lipstick Cream - Lumecolors Velvet Lipcoat Original,117000,Tangerang
Lip serum untuk perokok - Lipstik untuk perokok pria dan wanita - Serum untuk bibir hitam karena merokok - Pencegah bibir kering pecah-pecah bpom,80000,Bandung
Lipstik Cat Rambut Uban Penghitam Bright Hair Dye Pen,13600,Jakarta Barat
FLO LIPS LONG LASTING LIPSTIK UPZme - 1 pcs,110000,Kab. Tangerang
BPOM PINKFLASH Matte Lipstik Lembut Tahan Lama PFL01 Lipstick Matte Lipcream Lipmatte Original,50000,Jakarta Utara
Lipstick Hanasui Matte Lip Cream Hanasui,23750,Kab. Tangerang
BPOM DAZZLE ME Misty Matte Lip Cream | Silky Kiss Lip Matte Non Sticky 12 Jam Tanhan Air Lipcream Lipstik Lipstick,31500,Jakarta Utara
IMPLORA URBAN LIP CREAM MATTE ORIGINAL BPOM READY SEMUA WARNA KOSMETIK IMPLORA LIPSTIK IMPLORA,18500,Surabaya
